Month,Year,Municipality,Dengue_Cases
May,2020,Binmaley,1
Jun,2020,Binmaley,5
Jul,2020,Binmaley,12
Aug,2020,Binmaley,24
Sep,2020,Binmaley,32
Oct,2020,Binmaley,31
Nov,2020,Binmaley,70
Dec,2020,Binmaley,48
Jan,2021,Binmaley,39
Feb,2021,Binmaley,11
Mar,2021,Binmaley,9
Apr,2021,Binmaley,4
May,2021,Binmaley,4
Jun,2021,Binmaley,4
Jul,2021,Binmaley,4
Aug,2021,Binmaley,18
Sep,2021,Binmaley,17
Oct,2021,Binmaley,19
Nov,2021,Binmaley,14
Dec,2021,Binmaley,5
Jan,2022,Binmaley,5
Feb,2022,Binmaley,3
Mar,2022,Binmaley,1
Apr,2022,Binmaley,4
May,2022,Binmaley,2
Jun,2022,Binmaley,11
Jul,2022,Binmaley,25
Aug,2022,Binmaley,18
Sep,2022,Binmaley,20
Oct,2022,Binmaley,13
Nov,2022,Binmaley,6
Dec,2022,Binmaley,14
Jan,2023,Binmaley,9
Feb,2023,Binmaley,5
Mar,2023,Binmaley,7
Apr,2023,Binmaley,2
May,2023,Binmaley,6
Jun,2023,Binmaley,3
Jul,2023,Binmaley,3
Aug,2023,Binmaley,11
Sep,2023,Binmaley,21
Oct,2023,Binmaley,33
Nov,2023,Binmaley,43
Dec,2023,Binmaley,30
Jan,2024,Binmaley,21
Feb,2024,Binmaley,5
Mar,2024,Binmaley,3
Apr,2024,Binmaley,3
May,2024,Binmaley,6
Jun,2024,Binmaley,9
Jul,2024,Binmaley,26
Aug,2024,Binmaley,79
Sep,2024,Binmaley,82
Oct,2024,Binmaley,32
Jan,2019,Bolinao,8
Feb,2019,Bolinao,10
Mar,2019,Bolinao,2
Apr,2019,Bolinao,1
May,2019,Bolinao,4
Jun,2019,Bolinao,6
Jul,2019,Bolinao,36
Aug,2019,Bolinao,68
Sep,2019,Bolinao,17
Oct,2019,Bolinao,14
Nov,2019,Bolinao,4
Dec,2019,Bolinao,1
